-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin1 (V/A) 	 pLkin1 (deg.) 	 XLkin1 (Ohm) 	 RLkin2 (V/A) 	 pLkin2 (deg.) 	 XLkin2 (Ohm)
1700557920.113166	-0.2000000000000004	-1.29648e-10	16712.3	6.48	16605.530304803535	1364.5225	0.246	1364.5099230600356
1700557921.319949	-0.40000000000000036	-1.314607e-10	16840.1	6.45	16733.506642764445	1383.6924999999999	-0.144	1383.6881299230722
1700557922.516763	-0.6000000000000003	-1.297304e-10	16970.800000000003	6.456	16863.179612762655	1403.4325000000001	-0.588	1403.358596142159
1700557923.733518	-0.8000000000000003	-1.288241e-10	17110.899999999998	6.45	17002.59255073771	1424.605	-1.122	1424.331856393713
1700557924.9841857	-1.0000000000000002	-1.295655e-10	17247.3	6.42	17139.1412955332	1444.5375	-1.704	1443.8987061447713
1700557926.205928	-1.2000000000000002	-1.316258e-10	17387.5	6.42	17278.46209412972	1464.755	-2.364	1463.5084116553533
1700557927.4050834	-1.4000000000000001	-1.372292e-10	17532.5	6.414	17422.75798988742	1485.3525	-3.138	1483.1253391264722
1700557928.5999033	-1.6	-1.385482e-10	17684.100000000002	6.402	17573.822439692412	1506.0475000000001	-4.068	1502.2531022857213
1700557929.8725133	-1.8	-1.414324e-10	17843.399999999998	6.384	17732.753226667424	1526.7424999999998	-5.16	1520.555268226474
1700557931.082932	-2.0	-1.39743e-10	17997.9	6.378	17886.504641822034	1545.435	-6.33	1536.0130429585174
