----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656496602.1996250	1.76600	1.993068	3270.590000000	-11.21	3208.146802232	70.085800000	5.13	69.805063193
1656496603.9399941	1.76800	2.004572	3273.030000000	-11.21	3210.540216936	70.219400000	5.18	69.932843449
1656496604.9971750	1.76800	2.011762	3275.165000000	-11.22	3212.567737556	70.300400000	5.17	70.014176922
1656496606.8259439	1.76400	2.024704	3278.830000000	-11.22	3216.162689492	70.438600000	5.16	70.153142600
1656496608.3997481	1.76200	2.034770	3282.490000000	-11.23	3219.685835222	70.591200000	5.16	70.305124178
1656496609.4971869	1.76400	2.041960	3284.015000000	-11.23	3221.181657265	70.677200000	5.18	70.388106870
1656496611.1028950	1.76500	2.053464	3287.375000000	-11.23	3224.477370095	70.834400000	5.26	70.536565438
1656496612.2036099	1.76700	2.060654	3289.510000000	-11.23	3226.504440725	70.906000000	5.21	70.612606796
1656496613.7977059	1.76700	2.070720	3292.255000000	-11.24	3229.129692806	70.968000000	5.22	70.673674499
1656496614.8984251	1.76500	2.077910	3294.695000000	-11.24	3231.522908536	71.025200000	5.23	70.729960199
1656496616.0104611	1.75900	2.085100	3298.055000000	-11.24	3234.818484294	71.134800000	5.29	70.832280686
1656496617.0997970	1.76400	2.092290	3298.970000000	-11.24	3235.648596083	71.149200000	5.29	70.845932643
1656496618.7901590	1.76200	2.103794	3301.715000000	-11.24	3238.340907743	71.239800000	5.30	70.935458012
1656496619.9030800	1.76300	2.110984	3303.545000000	-11.24	3240.135782183	71.354200000	5.32	71.047295926
1656496621.0034950	1.76300	2.119612	3305.685000000	-11.25	3242.167189650	71.401800000	5.34	71.091913953
1656496622.1235211	1.76600	2.126802	3307.820000000	-11.25	3244.261166223	71.521200000	5.28	71.217727033
1656496623.7083020	1.76400	2.136868	3310.260000000	-11.25	3246.654282308	71.573600000	5.36	71.260872189
1656496624.8987660	1.76400	2.145496	3312.700000000	-11.26	3248.979702743	71.764200000	5.40	71.445707940
1656496626.0038221	1.76200	2.152686	3314.840000000	-11.26	3251.078539512	71.888200000	5.36	71.573394245
