----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656490508.3150239	1.90400	0.871428	2641.010000000	-10.60	2595.925126651	56.286200000	1.60	56.264364439
1656490510.0144980	1.91100	0.880056	2652.910000000	-10.61	2607.570853149	56.434000000	1.49	56.414815868
1656490511.6162331	1.90400	0.888684	2663.900000000	-10.63	2618.218839357	56.405400000	1.57	56.384333038
1656490512.9101350	1.89600	0.894436	2661.455000000	-10.62	2615.867145251	56.605600000	1.60	56.583475123
1656490514.0191979	1.91000	0.900188	2675.495000000	-10.64	2629.511620124	56.691400000	1.65	56.667893942
1656490515.1172650	1.90100	0.905940	2677.630000000	-10.64	2631.609926161	56.763000000	1.71	56.737721572
1656490516.7166440	1.91100	0.913130	2690.145000000	-10.65	2643.805764884	56.915600000	1.75	56.888993336
1656490517.8180659	1.90900	0.918882	2692.890000000	-10.65	2646.503480742	56.972800000	1.81	56.944499648
1656490519.5175481	1.90700	0.927510	2701.435000000	-10.66	2654.796667563	57.173000000	1.81	57.144600202
1656490520.6176119	1.90200	0.933262	2701.740000000	-10.66	2655.096401957	57.259000000	1.81	57.230557483
1656490522.2213409	1.90600	0.941890	2713.945000000	-10.67	2666.985469104	57.359000000	1.84	57.329553444
1656490523.3184149	1.90900	0.946204	2719.135000000	-10.68	2672.032910547	57.359000000	1.93	57.326393859
1656490524.9227870	1.90900	0.954832	2724.935000000	-10.68	2677.732440317	57.502000000	1.99	57.467250976
1656490526.5208850	1.91100	0.963460	2735.005000000	-10.70	2687.468635507	57.659400000	2.01	57.623923364
1656490527.7107151	1.90600	0.969212	2734.700000000	-10.69	2687.222082740	57.692800000	2.00	57.657514399
1656490529.3174410	1.91000	0.976402	2747.820000000	-10.70	2700.007470845	57.874000000	1.93	57.841101103
1656490530.4251299	1.89500	0.982154	2747.820000000	-10.71	2699.954010540	57.974200000	1.97	57.939795849
1656490532.0242290	1.91000	0.990782	2759.725000000	-10.72	2711.544156868	58.079000000	2.03	58.042622368
1656490533.1233010	1.90400	0.995096	2763.385000000	-10.72	2715.140258514	58.160200000	2.11	58.120691614
1656490534.7250309	1.90200	1.003724	2767.355000000	-10.73	2718.987018180	58.389000000	2.20	58.346118765
1656490535.8240719	1.90200	1.009476	2774.980000000	-10.73	2726.424639696	58.393800000	2.20	58.350915240
1656490537.5491540	1.90900	1.018104	2780.475000000	-10.74	2731.769245221	58.565400000	2.12	58.525163042
1656490539.1253331	1.90900	1.025294	2789.935000000	-10.75	2741.009073770	58.579800000	2.29	58.533180516
1656490540.2263770	1.90400	1.031046	2790.545000000	-10.75	2741.553874443	58.718000000	2.21	58.674167405
