------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1653748625.0231521	302.73000	94900.700000000	-0.43	94898.002511564	7057.250000000	-1.15	7055.823569654
1653748626.7229731	302.71000	94891.200000000	-0.43	94888.502781595	7057.250000000	-1.15	7055.823569654
1653748627.9284160	302.63000	94853.000000000	-0.43	94850.303867404	7056.475000000	-1.15	7055.048726299
1653748629.6272440	302.53000	94834.000000000	-0.43	94831.304407467	7055.700000000	-1.15	7054.273882944
1653748630.8286910	302.57000	94834.000000000	-0.43	94831.304407467	7054.950000000	-1.15	7053.524034536
1653748632.5265219	302.50000	94834.000000000	-0.43	94831.304407467	7054.950000000	-1.15	7053.524034536
1653748634.2312660	302.51000	94824.400000000	-0.43	94821.704680340	7054.175000000	-1.15	7052.749191181
1653748635.4337080	302.43000	94814.900000000	-0.43	94812.204950371	7053.425000000	-1.15	7051.999342773
1653748637.1311870	302.41000	94805.400000000	-0.43	94802.705220402	7053.425000000	-1.15	7051.999342773
1653748638.3319881	302.52000	94805.400000000	-0.43	94802.705220402	7052.650000000	-1.15	7051.224499419
1653748640.0334580	302.46000	94795.800000000	-0.43	94793.105493276	7051.125000000	-1.15	7049.699807656
1653748641.7353020	302.51000	94795.800000000	-0.43	94793.105493276	7051.125000000	-1.15	7049.699807656
1653748642.9397211	302.54000	94786.300000000	-0.43	94783.605763307	7050.375000000	-1.15	7048.949959248
1653748644.6391971	302.37000	94786.300000000	-0.43	94783.605763307	7050.375000000	-1.15	7048.949959248
1653748645.8361621	302.51000	94786.300000000	-0.43	94783.605763307	7049.600000000	-1.15	7048.175115893
1653748647.5388250	302.49000	94786.300000000	-0.43	94783.605763307	7048.850000000	-1.15	7047.425267485
1653748649.2442851	302.40000	94786.300000000	-0.43	94783.605763307	7048.850000000	-1.15	7047.425267485
1653748650.4447310	302.47000	94786.300000000	-0.43	94783.605763307	7048.075000000	-1.15	7046.650424130
1653748652.1442080	302.50000	94786.300000000	-0.43	94783.605763307	7047.325000000	-1.15	7045.900575722
1653748653.3480010	302.36000	94786.300000000	-0.43	94783.605763307	7046.550000000	-1.15	7045.125732367
1653748655.0426829	302.32000	94776.700000000	-0.43	94774.006036180	7046.550000000	-1.15	7045.125732367
1653748656.7453051	302.44000	94767.200000000	-0.43	94764.506306211	7045.800000000	-1.15	7044.375883959
1653748657.9497409	302.35000	94767.200000000	-0.43	94764.506306211	7045.025000000	-1.16	7043.586169573
1653748659.6482220	302.42000	94738.600000000	-0.43	94735.907119147	7045.025000000	-1.15	7043.601040604
1653748660.8503771	302.54000	94719.500000000	-0.43	94716.807662052	7044.275000000	-1.15	7042.851192196
1653748662.5514891	302.47000	94700.500000000	-0.43	94697.808202114	7043.500000000	-1.15	7042.076348841
1653748664.2533040	302.40000	94671.800000000	-0.43	94669.109017892	7042.750000000	-1.15	7041.326500433
1653748665.4583490	302.36000	94652.800000000	-0.43	94650.109557954	7041.975000000	-1.15	7040.551657078
