-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653951688.8534222	0.0	4.613193e-10	1545.42	2.31	1544.1641539638001
1653951690.9518628	1.0	-4.063703e-10	1539.925	2.316	1538.6671111000946
1653951693.0532975	2.0	-2.459641e-10	1534.74	2.316	1533.4863464712628
1653951695.150742	3.0	1.645996e-09	1529.5500000000002	2.316	1528.3005859266848
1653951697.2475424	4.0	-1.158427e-10	1524.365	2.31	1523.1262637710317
1653951699.3436341	5.0	9.3238e-10	1519.1750000000002	2.316	1517.9340607532747
1653951701.4420774	6.0	-7.006886e-10	1513.985	2.322	1512.7418850157057
1653951703.5385246	7.0	-4.803715e-10	1508.495	2.316	1507.2627847193448
1653951705.810788	8.0	2.793722e-10	1503.61	2.316	1502.3817750352862
1653951707.908499	9.0	1.916402e-09	1498.425	2.328	1497.188295466351
1653951710.0069215	10.0	6.902365e-10	1493.235	2.322	1492.008922592646
1653951712.133326	11.0	2.264437e-09	1488.045	2.328	1486.8168624570644
1653951714.2313895	12.0	2.865827e-10	1482.86	2.322	1481.6424413811164
1653951716.3298745	13.0	-4.408582e-10	1477.67	2.328	1476.450425321096
1653951718.4278646	14.0	1.599931e-09	1472.4850000000001	2.328	1471.269704689771
1653951720.7138107	15.0	1.981213e-09	1467.6	2.328	1466.3887364575583
1653951722.8365386	16.0	1.782703e-09	1462.41	2.328	1461.203019952915
1653951724.9336302	17.0	-5.175787e-10	1457.53	2.334	1456.3208396763243
1653951727.0310698	18.0	1.609902e-09	1452.34	2.334	1451.1351452769497
1653951729.128869	19.0	7.28143e-10	1447.155	2.334	1445.954446729598
1653951731.2382803	20.0	1.018201e-09	1442.27	2.328	1441.07964222584
1653951733.3347344	21.0	4.865758e-10	1437.08	2.34	1435.8816683409775
1653951735.4331732	22.0	1.894278e-09	1432.1999999999998	2.34	1431.0057376053858
1653951737.5319152	23.0	1.346086e-09	1427.01	2.334	1425.8261589308704
1653951739.6305811	24.0	2.012858e-09	1421.8249999999998	2.346	1420.6333019605913
1653951741.7802677	25.0	1.928965e-09	1416.9399999999998	2.346	1415.7523963075907
1653951743.8777153	26.0	1.40822e-09	1412.06	2.34	1410.8825316597272
1653951745.975521	27.0	-1.293989e-10	1407.175	2.34	1406.0016050934637
1653951748.0749688	28.0	1.356265e-09	1401.9850000000001	2.352	1400.8039133674185
1653951750.1744137	29.0	2.116811e-09	1397.1049999999998	2.352	1395.9280244690112
1653951752.2724967	30.0	-4.020438e-10	1392.22	2.346	1391.0531152958872
1653951754.3703008	31.0	2.05344e-09	1387.035	2.352	1385.8665078282415
1653951756.519568	32.0	8.288058e-11	1382.15	2.358	1380.9796757059369
1653951758.65092	33.0	-3.763742e-10	1377.27	2.358	1376.1038078063275
1653951760.7533488	34.0	1.167642e-09	1372.3850000000002	2.352	1371.2288495574096
1653951762.8521345	35.0	-4.999436e-10	1367.5	2.352	1366.3479648711966
1653951764.9491127	36.0	1.81274e-09	1362.62	2.358	1361.4662125749182
1653951767.0465562	37.0	1.143786e-09	1357.735	2.358	1356.5853489090184
1653951769.1463475	38.0	8.752742e-10	1352.855	2.358	1351.7094810094093
1653951771.245434	39.0	2.536625e-10	1347.6650000000002	2.358	1346.523875599784
1653951773.3452277	40.0	-3.024955e-10	1343.0900000000001	2.358	1341.9527494439003
1653951775.4446626	41.0	1.873552e-09	1337.8999999999999	2.364	1336.7613723480697
1653951777.6578014	42.0	7.868551e-10	1333.0149999999999	2.364	1331.8805297560073
1653951779.7583714	43.0	4.91643e-10	1328.4399999999998	2.364	1327.3094233366244
1653951781.8597987	44.0	8.815371e-10	1323.5549999999998	2.364	1322.428580744562
1653951783.9572434	45.0	3.049585e-10	1319.59	2.364	1318.4669551810966
1653951786.0568948	46.0	1.872935e-09	1315.9299999999998	2.37	1314.8043787192232
1653951788.154701	47.0	2.383099e-09	1311.96	2.364	1310.8434487374047
1653951790.2620354	48.0	1.478633e-09	1307.9950000000001	2.37	1306.87616616602
1653951792.3602326	49.0	-5.527349e-11	1304.635	2.37	1303.519040245571
1653951794.4590049	50.0	2.398464e-09	1301.28	2.37	1300.1669100482177
1653951796.5564501	51.0	1.389432e-09	1297.615	2.376	1296.4994186861709
1653951798.7895365	52.0	-1.080965e-10	1294.2600000000002	2.37	1293.1529148215652
1653951800.8863232	53.0	2.217753e-09	1290.905	2.376	1289.7951873853735
1653951802.9854236	54.0	1.749204e-09	1287.5449999999998	2.376	1286.4380760335582
1653951805.0852072	55.0	7.557888e-10	1283.885	2.37	1282.7867893975592
1653951807.1822991	56.0	1.17861e-10	1280.525	2.376	1279.424111244945
1653951809.2826407	57.0	2.398999e-09	1277.17	2.376	1276.0719955945463
1653951811.381441	58.0	-8.629969e-11	1274.12	2.376	1273.024617730547
1653951813.6135285	59.0	2.310333e-09	1270.4550000000002	2.382	1269.3572461025897
1653951815.7678034	60.0	-1.480228e-10	1267.405	2.382	1266.309881496513
