----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701254589.8080201	4.99000	1.133144	1560.525000000	-7.25	1548.055397542	751.805000000	-111.08	-270.378062451	0.009497594
1701254591.5679629	4.99200	1.141772	1560.830000000	-7.25	1548.337330377	751.538000000	-111.07	-270.208602342	0.001998256
1701254592.7817199	4.99000	1.148962	1561.290000000	-7.23	1548.876091083	751.843000000	-111.07	-270.318262298	0.008467480
1701254594.5001280	5.00000	1.156152	1561.135000000	-7.27	1548.598570152	752.454000000	-111.10	-270.905542676	0.000556045
1701254595.7098961	4.99300	1.163342	1561.747500000	-7.24	1549.288754132	752.149000000	-111.10	-270.795733717	0.005129883
1701254597.4705341	4.99400	1.171970	1561.595000000	-7.28	1549.013477029	755.162000000	-111.16	-272.618126271	0.008055435
1701254598.6823030	4.98700	1.177722	1561.747500000	-7.28	1549.144021271	755.162000000	-111.16	-272.618126271	0.003646493
1701254600.4076941	4.99600	1.186350	1562.205000000	-7.27	1549.639278524	755.353000000	-111.16	-272.687078446	0.004264498
1701254601.6126940	4.99700	1.192102	1562.510000000	-7.27	1549.941825232	755.239000000	-111.17	-272.719677240	0.012052330
1701254603.3713491	5.00100	1.200730	1562.815000000	-7.27	1550.244371940	754.933000000	-111.17	-272.682900098	0.008343840
1701254604.5877450	4.99700	1.207920	1563.120000000	-7.27	1550.567629946	753.675000000	-111.16	-272.081310126	0.002121893
1701254606.3016820	4.99100	1.216548	1563.272500000	-7.29	1550.635950015	754.247000000	-111.18	-272.508766544	0.004264623
1701254607.5120931	4.98800	1.222300	1562.815000000	-7.33	1550.036364391	758.176000000	-111.27	-275.038464373	0.007025314
1701254609.2787261	4.99700	1.230928	1563.120000000	-7.33	1550.338870504	760.808000000	-111.32	-276.587116581	0.010033290
1701254610.4885011	4.98600	1.236680	1563.425000000	-7.33	1550.662262016	760.617000000	-111.32	-276.517679694	0.001833481
1701254612.2066951	4.99600	1.245308	1563.577500000	-7.34	1550.750803783	762.181000000	-111.34	-277.383654867	0.003934898
1701254613.4148209	4.99100	1.251060	1564.187500000	-7.31	1551.481122159	759.892000000	-111.29	-275.883418003	0.007725820
1701254615.1787519	4.99400	1.259688	1564.950000000	-7.24	1552.465706383	760.922000000	-111.29	-276.331610800	0.003522849
1701254616.3878710	4.99900	1.266878	1565.255000000	-7.22	1552.830185526	760.579000000	-111.29	-276.132837536	0.005830385
1701254618.5909891	4.98800	1.276944	1565.562500000	-7.24	1553.073320202	763.669000000	-111.34	-277.925188805	0.004717816
1701254619.7974100	4.98400	1.282696	1565.407500000	-7.30	1552.732882245	761.266000000	-111.32	-276.827883116	0.000267664
1701254621.5161719	5.00100	1.292762	1565.715000000	-7.29	1553.058706321	757.184000000	-111.28	-274.752492471	0.008385067
1701254622.7255831	4.99700	1.298514	1566.172500000	-7.26	1553.616352069	756.650000000	-111.25	-274.263357755	0.012175950
1701254624.4798951	4.99500	1.307142	1566.477500000	-7.26	1553.918906856	756.650000000	-111.26	-274.337204013	0.005212306
1701254625.6826820	4.99500	1.312894	1566.782500000	-7.26	1554.221461643	756.955000000	-111.27	-274.595530324	0.006160003
1701254627.4184141	5.00000	1.321522	1567.697500000	-7.18	1555.417903788	756.879000000	-111.25	-274.272491900	0.010198100
1701254628.6259360	4.99700	1.327274	1567.850000000	-7.18	1555.548691156	756.917000000	-111.25	-274.360137398	0.008632331
1701254630.3842380	4.99000	1.335902	1568.002500000	-7.19	1555.658903240	756.841000000	-111.26	-274.480316423	0.002410298
1701254631.5969989	4.99400	1.341654	1567.850000000	-7.22	1555.404586714	760.427000000	-111.32	-276.448606351	0.007643337
1701254633.3094220	4.99100	1.351720	1568.155000000	-7.22	1555.707165659	759.473000000	-111.31	-275.953599353	0.005747985
1701254634.5074520	4.98900	1.357472	1567.850000000	-7.29	1555.176448272	758.672000000	-111.32	-275.884597157	0.005665520
1701254636.2733779	4.98300	1.366100	1568.002500000	-7.31	1555.244236353	758.290000000	-111.33	-275.819656200	0.006778089
1701254637.4834919	4.99600	1.371852	1568.307500000	-7.30	1555.609401847	759.778000000	-111.35	-276.657330478	0.002781102
1701254639.2078850	4.99000	1.380480	1568.765000000	-7.29	1556.084051965	759.053000000	-111.34	-276.245269008	0.007725803
1701254640.4103980	4.99700	1.386232	1568.765000000	-7.30	1556.042326195	759.015000000	-111.36	-276.453525582	0.004099696
1701254642.6124370	4.98700	1.397736	1568.917500000	-7.32	1556.130866690	759.740000000	-111.38	-276.939860829	0.010568960
1701254643.8172200	4.99500	1.403488	1568.917500000	-7.34	1556.067990375	759.816000000	-111.39	-277.115744526	0.004470577
1701254645.5797970	4.99600	1.412116	1569.527500000	-7.31	1556.756827985	758.405000000	-111.37	-276.305310436	0.011022160
1701254646.7952549	4.99500	1.417868	1569.680000000	-7.31	1556.908087148	759.053000000	-111.38	-276.689436099	0.004264551
1701254648.5096760	4.98500	1.426496	1569.222500000	-7.37	1556.265336834	761.914000000	-111.44	-278.549416391	0.004717820
1701254649.7284219	4.99500	1.433686	1569.527500000	-7.37	1556.546732018	762.181000000	-111.45	-278.721318054	-0.000309218
1701254651.4800990	4.99500	1.442314	1569.987500000	-7.35	1557.087195514	761.151000000	-111.43	-278.047886759	0.004841429
1701254652.6958351	4.99600	1.448066	1570.292500000	-7.34	1557.410717761	760.541000000	-111.42	-277.750913191	0.007684572
1701254654.4112580	4.99200	1.456694	1570.902500000	-7.29	1558.204273707	760.121000000	-111.41	-277.449319150	0.005500725
1701254655.6236660	4.98500	1.462446	1571.360000000	-7.25	1558.783049698	761.151000000	-111.41	-277.899482723	0.003893715
1701254657.3852150	4.98100	1.471074	1571.360000000	-7.30	1558.637186704	761.952000000	-111.44	-278.489039456	0.007890653
1701254658.5963359	4.99900	1.476826	1570.902500000	-7.37	1557.910360088	762.830000000	-111.48	-279.330364116	0.012835240
