----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701364811.2624040	4.99600	1.148962	884.252500000	8.95	873.481462929	9.758510000	-78.05	2.019911216	0.024702370
1701364813.0217111	4.99200	1.157590	884.252500000	8.95	873.495867143	9.741820000	-78.50	1.941540072	0.023219000
1701364814.2371199	4.98900	1.164780	884.252500000	8.95	873.495867143	9.737050000	-78.63	1.919601419	0.021405970
1701364816.4525700	4.99700	1.174846	884.405000000	8.95	873.646512032	9.717980000	-79.24	1.814969675	0.021364760
1701364817.6593499	4.99300	1.182036	884.405000000	8.95	873.646512032	9.715590000	-79.30	1.804527190	0.019757770
1701364819.4262929	4.98500	1.190664	884.710000000	8.95	873.947801810	9.706060000	-79.64	1.744797874	0.022477300
1701364820.6364131	4.98100	1.196416	884.710000000	8.95	873.947801810	9.696520000	-79.90	1.700113739	0.026144540
1701364822.3504989	4.98600	1.205044	884.710000000	8.95	873.947801810	9.686980000	-80.24	1.641485014	0.023301390
1701364823.5622721	4.98100	1.210796	884.862500000	8.95	874.098446699	9.677450000	-80.56	1.587910322	0.023919490
1701364825.3209450	5.00000	1.219424	884.862500000	8.95	874.098446699	9.667910000	-80.93	1.524392611	0.022147650
1701364826.5353510	4.98300	1.226614	884.862500000	8.95	874.098446699	9.658370000	-81.37	1.449934371	0.025897320
1701364828.2551301	4.99100	1.235242	885.015000000	8.94	874.263498636	9.655990000	-81.77	1.381560367	0.021735610
1701364829.4595571	4.99200	1.240994	885.015000000	8.94	874.263498636	9.684600000	-82.26	1.304302457	0.016214150
1701364831.1683590	4.98600	1.249622	885.167500000	8.94	874.414146008	9.684600000	-82.55	1.256049578	0.020581860
1701364832.4176769	4.99200	1.255374	885.167500000	8.94	874.414146008	9.677450000	-82.83	1.207878790	0.024537550
1701364834.1460719	4.99500	1.264002	885.320000000	8.95	874.550381366	9.670290000	-83.28	1.131592309	0.019840200
1701364835.3641801	4.98000	1.269754	885.320000000	8.95	874.550381366	9.667910000	-83.39	1.113213425	0.021117530
1701364837.1274810	4.99000	1.278382	885.472500000	8.94	874.715440751	9.663140000	-83.63	1.071441222	0.018604050
1701364838.3392580	4.98700	1.285572	885.472500000	8.94	874.715440751	9.658370000	-83.90	1.026672950	0.026597820
1701364840.0593159	4.99600	1.294200	885.625000000	8.94	874.866088123	9.653610000	-84.20	0.974887580	0.019634140
1701364841.2651031	4.99600	1.299952	885.625000000	8.94	874.866088123	9.646450000	-84.56	0.914850729	0.022106460
1701364843.0174370	4.98200	1.308580	885.777500000	8.94	875.016735494	9.641680000	-84.85	0.866141076	0.020128600
1701364844.2252150	4.98600	1.314332	885.777500000	8.94	875.016735494	9.634530000	-85.32	0.786087195	0.021405980
1701364846.4433060	5.00000	1.325836	885.777500000	8.94	875.016735494	9.660760000	-86.05	0.665153805	0.020211020
1701364847.6470971	4.97900	1.331588	885.930000000	8.94	875.167382866	9.670290000	-86.32	0.621351285	0.022559710
1701364849.3678651	4.98900	1.340216	885.930000000	8.94	875.167382866	9.639300000	-86.64	0.564954132	0.020581900
1701364850.6205201	4.99100	1.345968	885.930000000	8.94	875.167382866	9.653610000	-86.81	0.536523879	0.021405970
1701364852.3578999	4.99400	1.354596	886.082500000	8.93	875.332445064	9.670290000	-87.31	0.453509937	0.018233170
1701364853.5663259	4.98700	1.361786	886.082500000	8.93	875.332445064	9.667910000	-87.69	0.389676562	0.025279280
1701364855.3256390	4.99100	1.370414	886.082500000	8.93	875.332445064	9.665530000	-87.98	0.340019600	0.018109520
1701364856.5407591	4.98900	1.376166	886.235000000	8.93	875.483094916	9.665530000	-88.24	0.296519846	0.022806940
1701364858.2621689	4.98600	1.384794	886.235000000	8.93	875.483094916	9.663140000	-88.63	0.231707849	0.022188870
1701364859.4679551	4.99800	1.390546	886.235000000	8.93	875.483094916	9.663140000	-88.94	0.178088128	0.020211040
1701364861.2259171	4.99000	1.399174	886.540000000	8.94	875.769972352	9.660760000	-89.38	0.105211852	0.021076370
1701364862.4307110	4.99000	1.404926	886.540000000	8.94	875.769972352	9.660760000	-89.65	0.059688293	0.021405970
1701364864.1604559	4.99100	1.413554	886.540000000	8.93	875.784394621	9.698910000	-89.95	0.008125339	0.013906670
1701364865.3712251	4.99300	1.420744	886.540000000	8.94	875.769972352	9.713210000	-90.31	-0.051875167	0.027710360
1701364867.1385181	4.98600	1.429372	886.692500000	8.94	875.920619723	9.717980000	-90.80	-0.136362566	0.022436090
1701364868.3439541	4.99900	1.435124	886.692500000	8.94	875.920619723	9.720360000	-91.19	-0.201532475	0.021035140
1701364870.0627251	4.99400	1.443752	886.692500000	8.94	875.920619723	9.720360000	-91.65	-0.279887583	0.022147660
1701364871.2701540	4.98800	1.449504	886.845000000	8.94	876.071267095	9.722750000	-91.99	-0.336944803	0.023177790
1701364873.0318160	4.98400	1.458132	886.845000000	8.94	876.071267095	9.727520000	-92.42	-0.411417303	0.024908400
1701364874.2455859	4.98500	1.463884	886.997500000	8.94	876.221914467	9.727520000	-92.68	-0.455176321	0.017862330
1701364876.4646659	4.99200	1.475388	886.997500000	8.94	876.221914467	9.732280000	-93.21	-0.544966463	0.021076340
1701364877.6691041	4.98400	1.481140	886.997500000	8.94	876.221914467	9.737050000	-93.58	-0.608341450	0.024537560
1701364879.4334030	4.99100	1.491206	887.150000000	8.93	876.386994031	9.741820000	-93.95	-0.671752611	0.019881420
1701364880.6445379	4.98600	1.496958	887.150000000	8.93	876.386994031	9.744200000	-94.28	-0.727894247	0.025073200
1701364882.3625970	4.98400	1.505586	887.302500000	8.93	876.537643883	9.765700000	-94.64	-0.789654457	0.024001890
