-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653837983.4778721	139.0	1.908289e-10	802.0075	2.496	801.246606897148
1653837985.576279	138.0	7.383565e-10	802.9975000000001	2.502	802.2320011738411
1653837987.6876464	137.0	1.449458e-09	803.5325	2.484	802.7774715008107
1653837989.8371894	136.0	1.785166e-09	804.295	2.502	803.5282642649753
1653837991.9685853	135.0	1.626788e-09	805.3625000000001	2.49	804.6020923392241
1653837994.0685046	134.0	1.553077e-09	806.66	2.502	805.8910097066188
1653837996.2377493	133.0	1.940001e-09	807.8050000000001	2.484	807.0459569036877
1653837998.3347921	132.0	1.714588e-09	809.1775	2.502	808.4061097697636
1653838000.4581308	131.0	6.41904e-10	810.5525	2.484	809.7908752522902
1653838002.5886743	130.0	9.975148e-10	812.155	2.478	811.3955510791629
1653838004.6937141	129.0	-8.637679e-10	813.755	2.502	812.9792460315493
1653838006.7929788	128.0	-2.207461e-10	815.51	2.49	814.7400112664304
1653838008.8909073	127.0	1.168666e-09	816.96	2.478	816.1960579072136
1653838011.0895584	126.0	-1.129165e-10	818.485	2.484	817.7159215854257
1653838013.188609	125.0	-1.158496e-09	820.24	2.502	819.4580638704746
1653838015.2948637	124.0	1.021288e-09	822.0725	2.478	821.3037771909613
1653838017.3936214	123.0	1.344845e-09	823.5975	2.484	822.8236176936078
1653838019.491194	122.0	-9.963192e-10	825.505	2.496	824.7218139813283
1653838021.5911753	121.0	-2.851471e-10	827.4125	2.484	826.6350329802025
1653838023.7091944	120.0	-1.243006e-09	829.015	2.496	828.2284839192141
1653838026.0310023	119.0	7.571866e-10	830.9975	2.484	830.2166643832016
1653838028.1281674	118.0	3.417502e-10	832.6775	2.472	831.9026259217084
1653838030.2269187	117.0	-1.027181e-09	834.3549999999999	2.49	833.5672181827354
1653838032.3270082	116.0	8.925335e-10	836.4925	2.49	835.7026999966703
1653838034.425074	115.0	1.057918e-09	838.3225	2.472	837.5423727904878
1653838036.5263462	114.0	1.180656e-09	840.0	2.49	839.2068882831621
1653838038.6247368	113.0	-1.335919e-09	842.2125	2.49	841.4172992835508
1653838040.7234929	112.0	5.433914e-10	844.12	2.472	843.3344777456248
1653838042.8222587	111.0	5.763108e-10	845.8000000000001	2.478	845.0090895244825
1653838044.9193122	110.0	-8.30723e-10	848.0124999999999	2.49	847.2118230359822
1653838047.102013	109.0	1.014367e-09	849.7675	2.484	848.9690274053199
1653838049.2012846	108.0	-2.785132e-10	852.0550000000001	2.484	851.2543779867316
1653838051.2997353	107.0	1.277975e-09	854.04	2.466	853.2490991298686
1653838053.3985355	106.0	-7.020854e-10	855.87	2.478	855.0696730330088
1653838055.4955904	105.0	-1.730738e-10	858.0825	2.49	857.2723151371863
1653838057.6149342	104.0	-8.509539e-10	859.99	2.472	859.1897094210063
1653838059.7123396	103.0	-2.274622e-10	862.28	2.484	861.4697702030958
1653838062.0521019	102.0	9.079117e-11	864.2624999999999	2.466	863.462132378727
1653838064.1505136	101.0	1.269075e-09	866.475	2.484	865.6608284278047
1653838066.248929	100.0	-8.877898e-10	868.84	2.478	868.0275447416072
