----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701278494.7665200	4.98900	0.474540	998.235000000	8.47	987.357633589	17.914800000	-64.39	7.744677234	0.015884480
1701278496.4729710	4.99300	0.483168	998.540000000	8.47	987.659310127	17.876700000	-64.66	7.652157597	0.017738680
1701278497.6787560	4.99400	0.488920	998.692500000	8.47	987.810148395	17.848100000	-64.85	7.584127509	0.020087400
1701278499.4400611	4.99300	0.497548	998.845000000	8.47	987.960986664	17.824200000	-65.00	7.531704626	0.020169790
1701278500.6538250	4.99100	0.504738	998.845000000	8.46	987.976380543	17.843300000	-65.17	7.492324161	0.020128600
1701278502.3732419	4.99700	0.513366	998.997500000	8.46	988.127221162	17.848100000	-65.30	7.458699331	0.020787830
1701278503.5760341	4.99900	0.519118	999.150000000	8.46	988.278061781	17.819500000	-65.48	7.395851827	0.020540640
1701278505.3363409	4.99200	0.527746	999.607500000	8.46	988.730583638	17.781300000	-65.77	7.298587517	0.025155610
1701278506.5511031	4.99400	0.533498	999.760000000	8.46	988.881424257	17.781300000	-65.93	7.251013244	0.019263290
1701278508.7735360	4.99700	0.545002	1000.065000000	8.46	989.183105495	17.805200000	-66.04	7.230101835	0.019016060
1701278509.9783211	4.99300	0.550754	1000.065000000	8.46	989.183105495	17.776600000	-66.25	7.158898833	0.017450270
1701278511.7416201	4.99700	0.559382	1000.370000000	8.46	989.484786733	17.738400000	-66.50	7.072034804	0.021611940
1701278512.9500439	4.98500	0.565134	1000.522500000	8.46	989.635627352	17.719300000	-66.65	7.021852950	0.022312460
1701278514.6738031	4.99900	0.573762	1000.675000000	8.45	989.801879199	17.738400000	-66.83	6.979930702	0.021323540
1701278515.8805871	4.99300	0.580952	1000.827500000	8.45	989.952722167	17.724100000	-67.04	6.912826441	0.020087370
1701278517.6418900	4.99700	0.589580	1000.982500000	8.45	990.106037970	17.700300000	-67.27	6.838631858	0.016790970
1701278518.8543060	4.99200	0.595332	1001.135000000	8.45	990.256880937	17.690700000	-67.37	6.805863897	0.013700560
1701278520.5707300	5.00000	0.603960	1001.440000000	8.45	990.558566872	17.662100000	-67.60	6.729933086	0.021488310
1701278521.7818580	4.99200	0.609712	1001.592500000	8.45	990.709409840	17.638300000	-67.76	6.674728768	0.022271260
1701278523.5398121	4.99300	0.618340	1001.745000000	8.45	990.860252808	17.657400000	-67.79	6.675109778	0.018274350
1701278524.7509460	5.00000	0.624092	1001.897500000	8.45	991.011095775	17.662100000	-68.00	6.616910740	0.016420170
1701278526.4863119	4.98700	0.632720	1002.050000000	8.45	991.177360278	17.652600000	-68.14	6.572196132	0.019634130
1701278527.7469530	4.98900	0.639910	1002.202500000	8.45	991.328205593	17.638300000	-68.25	6.536003250	0.019222080
1701278529.4793341	4.99400	0.648538	1002.355000000	8.45	991.463624678	17.624000000	-68.39	6.489543059	0.018150740
1701278530.6887550	4.99200	0.654290	1002.507500000	8.45	991.629896222	17.590600000	-68.66	6.401819147	0.021158720
1701278532.3892219	4.99000	0.662918	1002.660000000	8.45	991.780741536	17.562000000	-68.87	6.331413806	0.016997010
1701278533.6452270	4.99100	0.668670	1002.965000000	8.45	992.082432165	17.581100000	-69.07	6.281591736	0.019634110
1701278535.3786170	4.99100	0.677298	1003.117500000	8.45	992.217839516	17.547700000	-69.23	6.223293174	0.019716520
1701278536.5913711	4.98800	0.684488	1003.270000000	8.45	992.384122795	17.566800000	-69.30	6.209421886	0.026144520
1701278538.3483350	4.99600	0.693116	1003.422500000	8.45	992.534968109	17.538100000	-69.61	6.111569991	0.021199930
1701278539.5544741	4.99100	0.698868	1003.575000000	8.45	992.685813424	17.538100000	-69.64	6.102961826	0.016420140
1701278541.7845421	4.99300	0.710372	1003.727500000	8.45	992.836658738	17.538100000	-69.83	6.046106083	0.023548610
1701278542.9893081	4.99400	0.716124	1003.880000000	8.44	993.002942862	17.547700000	-70.00	6.001091275	0.013865430
1701278544.7502639	4.98900	0.724752	1004.032500000	8.44	993.153790522	17.542900000	-70.04	5.989090631	0.021241150
1701278545.9630351	4.99300	0.730504	1004.185000000	8.44	993.304638182	17.523800000	-70.25	5.922160693	0.021570780
1701278547.6827991	4.99300	0.739132	1004.337500000	8.44	993.455485842	17.509500000	-70.42	5.868982771	0.022271260
1701278548.8885920	4.99000	0.746322	1004.490000000	8.44	993.606333502	17.504800000	-70.58	5.820753492	0.019510510
1701278550.6618569	4.98800	0.754950	1004.642500000	8.44	993.757181162	17.523800000	-70.79	5.766459245	0.021529570
1701278551.8652971	4.99900	0.760702	1004.795000000	8.45	993.892575940	17.504800000	-70.94	5.715179505	0.014524700
1701278553.5890541	4.99300	0.769330	1004.947500000	8.44	994.058876481	17.471400000	-71.30	5.600402446	0.015884470
1701278554.7928410	4.99200	0.775082	1005.100000000	8.44	994.209724141	17.471400000	-71.35	5.586536021	0.016378920
1701278556.5541480	4.98200	0.783710	1005.255000000	8.44	994.363044714	17.466600000	-71.42	5.565933713	0.018810010
1701278557.7655640	4.99300	0.789462	1005.407500000	8.44	994.513892374	17.461900000	-71.65	5.498527555	0.017491520
1701278559.5012910	4.98100	0.799528	1005.560000000	8.44	994.664740033	17.461900000	-71.95	5.411673423	0.024207890
1701278560.7097130	4.99400	0.805280	1005.712500000	8.44	994.831043776	17.466600000	-71.92	5.420085709	0.015019180
1701278562.4670291	4.99200	0.813908	1005.865000000	8.44	994.981893779	17.447500000	-72.10	5.362025034	0.022518500
1701278563.6678250	4.99300	0.819660	1005.865000000	8.44	994.981893779	17.423700000	-72.36	5.279995628	0.015019170
1701278565.3965650	4.99400	0.828288	1006.017500000	8.44	995.132743783	17.414200000	-72.56	5.219735905	0.021447140
1701278566.6093409	4.97500	0.834040	1006.170000000	8.44	995.283593786	17.404600000	-72.62	5.197728102	0.018851230
1701278568.3596690	4.99300	0.842668	1006.322500000	8.44	995.434443790	17.385600000	-72.77	5.148597856	0.022147660
1701278569.5690899	4.98800	0.848420	1006.322500000	8.44	995.434443790	17.380800000	-72.92	5.105436878	0.018150780
1701278571.7742119	4.98800	0.859924	1006.627500000	8.44	995.736143797	17.376000000	-73.33	4.985623469	0.019716550
1701278572.9760101	4.99100	0.865676	1006.627500000	8.44	995.736143797	17.376000000	-73.49	4.938539878	0.015060370
1701278574.6967781	4.99400	0.874304	1006.780000000	8.44	995.886993801	17.361700000	-73.67	4.880412514	0.021323550
1701278575.9031999	4.99200	0.880056	1006.932500000	8.43	996.053307713	17.352200000	-73.75	4.855067506	0.026556590
1701278577.6070130	4.98700	0.888684	1007.085000000	8.43	996.204160059	17.347400000	-73.93	4.801378847	0.019922540
1701278578.8134401	4.99500	0.895874	1007.237500000	8.43	996.355012404	17.352200000	-74.21	4.722329972	0.012423200
1701278580.5159090	4.99200	0.904502	1007.390000000	8.44	996.490393815	17.328300000	-74.45	4.645939537	0.019428130
1701278581.7699161	4.98500	0.910254	1007.542500000	8.43	996.656717095	17.342600000	-74.56	4.618272141	0.020128570
1701278583.5009420	4.98800	0.918882	1007.542500000	8.43	996.656717095	17.337900000	-74.68	4.580258138	0.020252220
1701278584.7190490	4.99600	0.924634	1007.695000000	8.43	996.807569441	17.323600000	-74.83	4.532722900	0.020004990
1701278586.4723780	4.99000	0.933262	1007.847500000	8.43	996.958421786	17.309300000	-75.10	4.450204761	0.024578760
1701278587.6741700	4.99200	0.939014	1008.000000000	8.43	997.109274132	17.295000000	-75.23	4.408011040	0.018974820
1701278589.3985710	4.98200	0.947642	1008.000000000	8.43	997.109274132	17.285400000	-75.41	4.353032319	0.017244210
1701278590.6013651	4.99200	0.954832	1008.152500000	8.43	997.260126478	17.304500000	-75.70	4.273609088	0.019139640
1701278592.8044901	4.99000	0.964898	1008.305000000	8.43	997.410978823	17.304500000	-75.83	4.236722966	0.018604000
